id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   B2 upper case
 1,  693,    0,  TBUR,   typebox upper right
 2,  693, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  693,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  693,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  693,  321,  VHR,    cap-height (right)
10, 148.5,   0,  SPCL,   space left (Vorbreite)
11,  590,    0,  SPCR,   space right (Nachbreite)
12, 148.5, 321,   a1,    anchor 1
13, 148.5, 321,   c1,    control 1
14, 148.5, 982,   c2,    control 2
15, 148.5, 982,   a2,    anchor 2
16, 149.5, 321,   a3,    anchor 3
17, 149.5, 321,   c3,    control 3
18,  392,  321.5, c4,    control 4 (offset y+0.5)
19,  392,  321.5, a4,    anchor 4 (offset)
20,  392,  321.5, a5,    anchor 5 (offset)
21,  465,  321.5, c5,    control 5 (offset)
22,  556,  378,   c6,    control 6
23,  556, 475.5,  a6,    anchor 6
24,  556, 475.5,  a7,    anchor 7
25,  556,  555,   c7,    control 7
26,  482,  631,   c8,    control 8
27,  391,  631,   a8,    anchor 8
28,  391,  631,   a9,    anchor 9
29,  391,  631,   c9,    control 9
30, 149.5, 631,   c10,   control 10
31, 149.5, 631,   a10,   anchor 10
32,  403,  631,   a11,   anchor 11
33,  503,  631,   c11,   control 11
34,  590,  707,   c12,   control 12
35,  590, 805.5,  a12,   anchor 12
36,  590, 805.5,  a13,   anchor 13
37,  590,  900,   c13,   control 13
38,  507, 981.5,  c14,   control 14 (offset y-0.5)
39, 404.5, 981.5, a14,   anchor 14
40, 404.5, 981.5, a15,   anchor 15
41, 404.5, 981.5, c15,   control 15
42, 149.5, 982,   c16,   control 16
43, 149.5, 982,   a16,   anchor 16
44,    #,    #,   #,     anchor 17
45,    #,    #,   #,     control 17
46,    #,    #,   #,     control 18
47,    #,    #,   #,     anchor 18
48,    #,    #,   #,     anchor 19
49,    #,    #,   #,     control 19
50,    #,    #,   #,     control 20
51,    #,    #,   #,     anchor 20
52,    #,    #,   #,     anchor 21
53,    #,    #,   #,     control 21
54,    #,    #,   #,     control 22
55,    #,    #,   #,     anchor 22
56,    #,    #,   #,     anchor 23
57,    #,    #,   #,     control 23
58,    #,    #,   #,     control 24
59,    #,    #,   #,     anchor 24
60,    #,    #,   #,     anchor 25
61,    #,    #,   #,     control 25
62,    #,    #,   #,     control 26
63,    #,    #,   #,     anchor 26
