id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   G upper case
 1,  714,    0,  TBUR,   typebox upper right
 2,  714, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  714,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  714,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  714,  321,  VHR,    cap-height (right)
10,   74,    0,  SPCL,   space left (Vorbreite)
11,  595,    0,  SPCR,   space right (Nachbreite)
12,  583,  416,   a1,    anchor 1
13,  525,  345,   c1,    control 1
14,  443,  308,   c2,    control 2
15,  365,  308,   a2,    anchor 2
16,  365,  308,   a3,    anchor 3
17,  227,  308,   c3,    control 3
18,   74,  425,   c4,    control 4
19,   74,  646,   a4,    anchor 4
20,   74,  646,   a5,    anchor 5
21,   74,  882,   c5,    control 5
22,  226,  994,   c6,    control 6
23,  365,  994,   a6,    anchor 6
24,  365,  994,   a7,    anchor 7
25,  448,  994,   c7,    control 7
26,  537,  954,   c8,    control 8
27,  595,  871,   a8,    anchor 8
28,  595,  871,   a9,    anchor 9
29,  595,  871,   c9,    control 9
30,  595,  652,   c10,   control 10
31,  595,  652,   a10,   anchor 10
32,  595,  652,   a11,   anchor 11
33,  595,  652,   c11,   control 11
34,  366,  653,   c12,   control 12
35,  366,  653,   a12,   anchor 12
36,    #,    #,   #,     anchor 13
37,    #,    #,   #,     control 13
38,    #,    #,   #,     control 14
39,    #,    #,   #,     anchor 14
40,    #,    #,   #,     anchor 15
41,    #,    #,   #,     control 15
42,    #,    #,   #,     control 16
43,    #,    #,   #,     anchor 16
44,    #,    #,   #,     anchor 17
45,    #,    #,   #,     control 17
46,    #,    #,   #,     control 18
47,    #,    #,   #,     anchor 18
48,    #,    #,   #,     anchor 19
49,    #,    #,   #,     control 19
50,    #,    #,   #,     control 20
51,    #,    #,   #,     anchor 20
52,    #,    #,   #,     anchor 21
53,    #,    #,   #,     control 21
54,    #,    #,   #,     control 22
55,    #,    #,   #,     anchor 22
56,    #,    #,   #,     anchor 23
57,    #,    #,   #,     control 23
58,    #,    #,   #,     control 24
59,    #,    #,   #,     anchor 24
60,    #,    #,   #,     anchor 25
61,    #,    #,   #,     control 25
62,    #,    #,   #,     control 26
63,    #,    #,   #,     anchor 26
