id,    x,    y,  pt,    comment
 0,    0,    0,  TBUL,  num6a (200724)
 1,  616,    0,  TBUR,  typebox upper right
 2,  616, 1480,  TBLR,  typebox lower right
 3,    0,  1480, TBLL,  typebox lower left
 4,    0,  982,  BLL,   baseline (left)
 5,  616,  982,  BLR,   baseline (right)
 6,    0,  481,  XHL,   x-height (left)
 7,  616,  481,  XHR,   x-height (right)
 8,    0,  321,  VHL,   cap-height (left)
 9,  616,  321,  VHR,   cap-height (right)
10,   79,    0,  SPCL,  space left (Vorbreite)
11,  507,    0,  SPCR,  space right (Nachbreite)

12,  473,  387,  a1,    anchor 1
13,  470.5,  383,  c1,    control 1 r1.5d0
14,  413,  304,  c2,    control 2
15,  309,  304,  a2,    anchor 2

16,  309,  304,  a3,    anchor 3
17,  244,  304,  c3,    control 3
18,   79,  344,  c4,    control 4
19,   79,  664,  a4,    anchor 4

20,   79,  664,  a5,    anchor 5
21,   79,  911,  c5,    control 5
22,  189, 1003,  c6,    control 6
23,  302, 1003,  a6,    anchor 6

24,  302, 1003,  a7,    anchor 7
25,  450, 1003,  c7,    control 7
26,  507,  867,  c8,    control 8
27,  507,  794,  a8,    anchor 8

28,  507,  794,  a9,    anchor 9
29,  507,  708,  c9,    control 9
30,  444,  590,  c10,   control 10
31,  306,  590,  a10,   anchor 10

32,  306,  590,  a11,   anchor 11
33,  109,  590,  c11,   control 11
34,   96,  797,  c12,   control 12
35,   95,  805,  a12,   anchor 12
