   wid,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   auml_uc REV 03SEP23
 1,  675,    0,  TBUR,   typebox upper right
 2,  675, 1480, TBLR,    typebox lower right
 3,    0, 1480, TBLL,    typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  675,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  675,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  675,  321,  VHR,    cap-height (right)
10,   70,    0,  SPCL,   space left (Vorbreite)
11,  605.5,  0,  SPCR,   space right (Nachbreite)
12,   70,  985.5,  a1,   anchor 1
13,   90,  935.5,  c1,   control 1
14,  317.5,  368,  c2,   control 2
15,  337.5,  318,  a2,   anchor 2
16,  337.5,  318,  a3,   anchor 3
17,  357.5,  368,  c3,   control 3
18, 585.5, 935.5,  c4,   control 4
19, 605.5, 985.5,  a4,   anchor 4
20,  153,  784,   a5,    anchor 5
21,  253,  784,   c5,    control 5
22,  422,  784,   c6,    control 6
23,  522,  784,   a6,    anchor 6

24,  232,  120.5, a7,    anchor 7 DIA#TEMP#
25,  234,  118.5, c7,    control 7
26, 239.5, 115.5, c8,    control 8
27, 241.5, 113.5, a8,    anchor 8
28,  433,  120.5, a9,    anchor 9 DIA#TEMP#
29,  435,  118.5, c9,    control 9
30, 440.5, 115.5, c10,   control 10
31, 442.5, 113.5, a10,   anchor 10
