id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   d2_uc (100823)
 1,  667,    0,  TBUR,   typebox upper right
 2,  667, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  667,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  667,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  667,  321,  VHR,    cap-height (right)
10, 106.5,   0,  SPCL,   space left (Vorbreite)
11, 584.5,   0,  SPCR,   space right (Nachbreite)
12, 106.5, 321,   a1,    anchor 1
13, 106.5, 321,   c1,    control 1
14, 106.5, 982,   c2,    control 2
15, 106.5, 982,   a2,    anchor 2
16, 106.5, 321,   a3,    anchor 3
17, 106.5, 321,   c3,    control 3
18,  285,  321,   c4,    control 4
19,  296,  321,   a4,    anchor 4
20,  296,  321,   a5,    anchor 5
21,  427,  321,   c5,    control 5
22, 584.5, 441,   c6,    control 6
23, 584.5, 640.5, a6,    anchor 6
24, 584.5, 640.5, a7,    anchor 7
25, 584.5, 852,   c7,    control 7
26,  450,  982,   c8,    control 8
27,  296,  982,   a8,    anchor 8
28,  296,  982,   a9,    anchor 9
29,  196,  982,   c9,    control 9
30, 106.5, 982,   c10,   control 10
31, 106.5, 982,   a10,   anchor 10
