id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   g_uc (100823)
 1,  714,    0,  TBUR,   typebox upper right
 2,  714, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  714,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  714,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  714,  321,  VHR,    cap-height (right)
10,   74,    0,  SPCL,   space left (Vorbreite)
11,  595,    0,  SPCR,   space right (Nachbreite)
12,  583,  416,   a1,    anchor 1
13,  525,  345,   c1,    control 1
14,  443,  308,   c2,    control 2
15,  365,  308,   a2,    anchor 2
16,  365,  308,   a3,    anchor 3
17,  227,  308,   c3,    control 3
18,   74,  425,   c4,    control 4
19,   74,  646,   a4,    anchor 4
20,   74,  646,   a5,    anchor 5
21,   74,  882,   c5,    control 5
22,  226,  994,   c6,    control 6
23,  365,  994,   a6,    anchor 6
24,  365,  994,   a7,    anchor 7
25,  448,  994,   c7,    control 7
26,  537,  954,   c8,    control 8
27,  595,  871,   a8,    anchor 8
28,  595,  871,   a9,    anchor 9
29,  595,  871,   c9,    control 9
30,  595,  652,   c10,   control 10
31,  595,  652,   a10,   anchor 10
32,  595,  652,   a11,   anchor 11
33,  595,  652,   c11,   control 11
34,  366,  653,   c12,   control 12
35,  366,  653,   a12,   anchor 12
