id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   k_lc 06-AUG-23
 1,  545,    0,  TBUR,   typebox upper right
 2,  545, 1480, TBLR,    typebox lower right
 3,    0, 1480, TBLL,    typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  545,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  545,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  545,  321,  VHR,    cap-height (right)
10,  133,    0,  SPCL,   space left (Vorbreite)
11,  490,    0,  SPCR,   space right (Nachbreite)
12,  133,  277,   a1,    anchor 1
13,  133,  277,   c1,    control 1
14,  133,  985.5, c2,    control 2
15,  133,  985.5, a2,    anchor 2
16,  140,  775,   a3,    anchor 3
17,  140,  775,   c3,    control 3
18,  467,  481,   c4,    control 4
19,  467,  481,   a4,    anchor 4
20,  248,  701.5, a5,    anchor 5
21,  248,  701.5, c5,    control 5
22,  490,  982,   c6,    control 6
23,  490,  982,   a6,    anchor 6
