id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   malt_uc (080823)
 1,  938,    0,  TBUR,   typebox upper right
 2,  938, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  938,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  938,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  938,  321,  VHR,    cap-height (right)
10,  126,    0,  SPCL,   space left (Vorbreite)
11,  778.5,  0,  SPCR,   space right (Nachbreite)
12,  126,  317,   a1,    anchor 1
13,  126,  317,   c1,    control 1
14,  126,  985.5, c2,    control 2
15,  126,  985.5, a2,    anchor 2
16,  126,  317,   a3,    anchor 3
17,  126,  317,   c3,    control 3
18,  452,  890,   c4,    control 4
19,  452,  890,   a4,    anchor 4
20,  452,  890,   a5,    anchor 5
21,  452,  890,   c5,    control 5
22, 778.5, 317,   c6,    control 6
23, 778.5, 317,   a6,    anchor 6
24, 778.5, 317,   a7,    anchor 7
25, 778.5, 317,   c7,    control 7
26, 778.5, 985.5, c8,    control 8
27, 778.5, 985.5, a8,    anchor 8
