id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   q3_uc220723 (100823)
 1,  784,    0,  TBUR,   typebox upper right
 2,  784, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  784,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  784,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  784,  321,  VHR,    cap-height (right)
10,   82,    0,  SPCL,   space left (Vorbreite)
11,  679,    0,  SPCR,   space right (Nachbreite)
12,  373,  307.5, a1,    anchor 1
13,  234,  307.5, c1,    control 1
14,   82,  425,   c2,    control 2
15,   82,  646,   a2,    anchor 2
16,   82,  646,   a3,    anchor 3
17,   82,  881,   c3,    control 3
18,  234,  994,   c4,    control 4
19,  373,  994,   a4,    anchor 4
20,  373,  994,   a5,    anchor 5
21,  512,  994,   c5,    control 5
22,  664,  881,   c6,    control 6
23,  664,  646,   a6,    anchor 6
24,  664,  646,   a7,    anchor 7
25,  664,  425,   c7,    control 7
26,  512,  307.5, c8,    control 8
27,  373,  307.5, a8,    anchor 8
28,  466,  817.5, a9,    anchor 9
29,  466,  817.5, c9,    control 9
30,  679, 1015.5, c10,   control 10
31,  679, 1015.5, a10,   anchor 10
