id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   r2_uc(100823)
 1,  680,    0,  TBUR,   typebox upper right
 2,  680, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  680,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  680,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  680,  321,  VHR,    cap-height (right)
10,  130,    0,  SPCL,   space left (Vorbreite)
11,  562,    0,  SPCR,   space right (Nachbreite)
12,  130,  321,   a1,    anchor 1
13,  130,  321,   c1,    control 1
14,  130,  985.5, c2,    control 2
15,  130,  985.5, a2,    anchor 2
16, 130.5, 321,   a3,    anchor 3
17, 130.5, 321,   c3,    control 3
18, 355.5, 321,   c4,    control 4
19, 355.5, 321,   a4,    anchor 4
20, 355.5, 321,   a5,    anchor 5
21, 457.5, 321,   c5,    control 5
22,  553,  381,   c6,    control 6
23,  553,  498,   a6,    anchor 6
24,  553,  498,   a7,    anchor 7
25,  553,  629,   c7,    control 7
26,  443,  676.5, c8,    control 8
27, 355.5, 676.5, a8,    anchor 8
28, 355.5, 676.5, a9,    anchor 9
29, 332.5, 676.5, c9,    control 9
30,  131,  677,   c10,   control 10
31,  131,  677,   a10,   anchor 10
32,  356,  676.5, a11,   anchor 11
33,  356,  676.5, c11,   control 11
34,  562,  985.5, c12,   control 12
35,  562,  985.5, a12,   anchor 12
