id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   sslig2_lc alternate "|s" 04-AUG-23 (080823)
 1,  634,    0,  TBUR,   typebox upper right
 2,  634, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  634,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  634,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  634,  321,  VHR,    cap-height (right)
10,  128,    0,  SPCL,   space left (Vorbreite)
11,  583,    0,  SPCR,   space right (Nachbreite)
12,  128,  987,   a1,    anchor 1
13,  128,  987,   c1,    control 1
14,  128,  466,   c2,    control 2
15,  128,  466,   a2,    anchor 2
16,  128,  466,   a3,    anchor 3
17,  128,  369,   c3,    control 3
18,  190,  295,   c4,    control 4
19,  286,  295,   a4,    anchor 4
20,  286,  295,   a5,    anchor 5
21,  358,  295,   c5,    control 5
22,  424,  350,   c6,    control 6
23,  424,  422,   a6,    anchor 6
24,  424,  422,   a7,    anchor 7
25,  424,  530,   c7,    control 7
26,  322,  525,   c8,    control 8
27,  322,  621,   a8,    anchor 8
28,  322,  621,   a9,    anchor 9
29,  322,  661,   c9,    control 9
30,  340,  714,   c10,   control 10 #o----#
31,  444,  739,   a10,   anchor 10 #--x--#
32,  444,  739,   a11,   anchor 11 #--x--#
33,  563,  768,   c11,   control 11 #----o#
34,  583,  823,   c12,   control 12
35,  583,  868,   a12,   anchor 12
36,  583,  868,   a13,   anchor 13
37,  583,  924,   c13,   control 13
38,  535,  989,   c14,   control 14
39,  439,  989,   a14,   anchor 14
40,  439,  989,   a15,   anchor 15
41,  346,  989,   c15,   control 15
42,  311,  937,   c16,   control 16
43,  307,  933,   a16,   anchor 16
