id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   z_uc (080823)
 1,  590,    0,  TBUR,   typebox upper right
 2,  590, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5,  590,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7,  590,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9,  590,  321,  VHR,    cap-height (right)
10,   78.5,  0,  SPCL,   space left (Vorbreite)
11,  514.5,  0,  SPCR,   space right (Nachbreite)
12,   81,  321,   a1,    anchor 1
13,   81,  321,   c1,    control 1
14,  493,  321,   c2,    control 2
15,  493,  321,   a2,    anchor 2
16,  493,  321,   a3,    anchor 3
17,  493,  321,   c3,    control 3
18,  78.5, 982,   c4,    control 4
19,  78.5, 982,   a4,    anchor 4
20,  78.5, 982,   a5,    anchor 5
21,  78.5, 982,   c5,    control 5
22, 514.5, 982,   c6,    control 6
23, 514.5, 982,   a6,    anchor 6
