id,    x,    y,  pt,     comment
 0,    0,    0,  TBUL,   sch1650_lower case
 1, 1650,    0,  TBUR,   typebox upper right
 2, 1650, 1480,  TBLR,   typebox lower right
 3,    0, 1480,  TBLL,   typebox lower left
 4,    0,  982,  BLL,    baseline (left)
 5, 1650,  982,  BLR,    baseline (right)
 6,    0,  481,  XHL,    x-height (left)
 7, 1650,  481,  XHR,    x-height (right)
 8,    0,  321,  VHL,    cap-height (left)
 9, 1650,  321,  VHR,    cap-height (right)
10,   89.5,  0,  SPCL,   space left (Vorbreite)
11, 1557,    0,  SPCR,   space right (Nachbreite)
12,  400,  506,   a1,    anchor 1
13,  400,  506,   c1,    control 1
14,  359,  477.5, c2,    control 2
15,  261,  477.5, a2,    anchor 2
16,  261,  477.5, a3,    anchor 3
17,  168,  477.5, c3,    control 3
18,  104,  542,   c4,    control 4
19,  104,  598,   a4,    anchor 4
20,  104,  598,   a5,    anchor 5
21,  104,  655.5, c5,    control 5
22,  145,  705,   c6,    control 6 #o--#
23,  261,  724.5, a6,    anchor 6 #--x--#
24,  261,  724.5, a7,    anchor 7 #--x--#
25,  382,  744.5, c7,    control 7 #--o# y-0.5
26, 424.5, 803,   c8,    control 8
27, 424.5, 860.5, a8,    anchor 8
28, 424.5, 860.5, a9,    anchor 9
29, 424.5, 924,   c9,    control 9
30,  367,  987.5, c10,   control 10
31,  261,  987.5, a10,   anchor 10
32,  261,  987.5, a11,   anchor 11
33,  148,  987.5, c11,   control 11
34,  89.5, 948,   c12,   control 12
35,  89.5, 948,   a12,   anchor 12
36, 972.5, 561,   a1,    anchor 1#+504#
37,  931,  507,   c1,    control 1
38,  869,  480,   c2,    control 2
39,  811,  480,   a2,    anchor 2
40,  811,  480,   a3,    anchor 3
41,  712,  480,   c3,    control 3
42,  595,  565,   c4,    control 4
43,  595,  728.5, a4,    anchor 4
44,  595,  728.5, a5,    anchor 5
45,  595,  901,   c5,    control 5
46,  712,  984,   c6,    control 6
47,  811,  984,   a6,    anchor 6
48,  811,  984,   a7,    anchor 7
49,  875,  984,   c7,    control 7
50,  944,  953,   c8,    control 8
51, 985.5, 885,   a8,    anchor 8
52, 1186,  270.5, a1,    anchor 1#+1043#
53, 1186,  270.5, c1,    control 1
54, 1186,  985.5, c2,    control 2
55, 1186,  985.5, a2,    anchor 2
56,1191.5, 605,   a3,    anchor 3
57,1191.5, 605,   c3,    control 3
58, 1255,  480.5, c4,    control 4
59, 1383,  480.5, a4,    anchor 4
90, 1383,  480.5, a5,    anchor 5
61,1466.5, 480.5, c5,    control 5
62, 1557,  532,   c6,    control 6
63, 1557,  644,   a6,    anchor 6
64, 1557,  644,   a7,    anchor 7
65, 1557,  744,   c7,    control 7
66, 1557,  985.5, c8,    control 8
67, 1557,  985.5, a8,    anchor 8
